domain,replicate,degraded,totalErrorTurns,compactionEvents,semanticJudgingSucceeded,model,turnsUsed,stoppedReason,wallClockSec,appAgentApiCalls,applyToolCalls,totalTokens,classesFullF1,classesFullRecall,classesFullPrecision,relationshipsFullF1,propertiesFullF1,propertiesFullRecall,controlledValueFidelityFull,controlledValuePropertyGoldTotal,controlledValuePropertyMatchedCount,recoveryEffectivenessFull,recoveryEffectivenessWithFidelityFull,classesScopedF1,relationshipsScopedF1,propertiesScopedF1,recoveryEffectivenessScoped,semanticClassesFullF1,semanticRelationshipsFullF1,semanticPropertiesFullF1,rulesF1,actionsIdentificationF1,semanticRulesF1,semanticActionsF1
itops,run-01,true,3,0,true,gpt-5.4,93,app_agent_appears_finished,1672,198,49,22756302,0.750,0.618,0.955,0.701,0.816,0.757,1,35,29,0.755,0.817,0.647,0.571,0.333,0.517,0.768,0.701,0.816,0.333,1,0.333,1
itops,run-02,false,0,0,true,gpt-5.4,75,app_agent_appears_finished,1466,172,45,14916660,0.598,0.426,1,0.468,0.455,0.315,0.889,35,18,0.507,0.602,0.679,0.522,0.500,0.567,0.598,0.468,0.494,0.375,1,0.375,1
itops,run-03,false,0,0,true,gpt-5.4,72,app_agent_appears_finished,1213,159,41,15612104,0.653,0.485,1,0.494,0.594,0.468,0.980,35,21,0.580,0.680,0.807,0.585,0.472,0.621,0.653,0.532,0.594,0.286,1,0.286,1
